"PMID","DOI","First_Author","Year","Title","Journal","Journal_Abbrev","Publication_Type","Domain_Group","Priority_Translational_Evidence","Priority_Use_Case"
"33167009","10.1093/humrep/deaa258","Boitrelle F","2020","Predicting sperm extraction in non-obstructive azoospermia patients.","Human reproduction (Oxford, England)","Hum Reprod","Comment; Letter","Andrology","No",""
"32753627","10.1038/s41598-020-69857-4","Butola A","2020","High spatially sensitive quantitative phase imaging assisted with deep neural network for classification of human spermatozoa under stressed condition.","Scientific reports","Sci Rep","Journal Article; Research Support, Non-U.S. Gov't","Andrology","No",""
"32654105","10.1007/s10815-020-01881-9","Fernandez EI","2020","Artificial intelligence in the IVF laboratory: overview through the application of different types of algorithms for the classification of reproductive data.","Journal of assisted reproduction and genetics","J Assist Reprod Genet","Journal Article; Review","Andrology","No",""
"32829415","10.1093/humrep/deaa181","Ferrick L","2020","Metabolic activity of human blastocysts correlates with their morphokinetics, morphological grade, KIDScore and artificial intelligence ranking.","Human reproduction (Oxford, England)","Hum Reprod","Journal Article; Research Support, Non-U.S. Gov't","Andrology","No",""
"32144650","10.1007/s11517-019-02101-y","Ilhan HO","2020","A fully automated hybrid human sperm detection and classification system based on mobile-net and the performance comparison with conventional methods.","Medical & biological engineering & computing","Med Biol Eng Comput","Journal Article","Andrology","No",""
"32443809","10.3390/diagnostics10050325","Iqbal I","2020","Deep Learning-Based Morphological Classification of Human Sperm Heads.","Diagnostics (Basel, Switzerland)","Diagnostics (Basel)","Journal Article","Andrology","No",""
"32690677","10.1073/pnas.2001754117","Kandel ME","2020","Reproductive outcomes predicted by phase imaging with computational specificity of spermatozoon ultrastructure.","Proceedings of the National Academy of Sciences of the United States of America","Proc Natl Acad Sci U S A","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.","Andrology","No",""
"31976600","10.1002/jmri.27060","Krishna S","2020","Role of MRI in Staging of Penile Cancer.","Journal of magnetic resonance imaging : JMRI","J Magn Reson Imaging","Journal Article","Andrology","No",""
"33126127","10.1016/j.compbiomed.2020.104061","Lesani A","2020","Quantification of human sperm concentration using machine learning-based spectrophotometry.","Computers in biology and medicine","Comput Biol Med","Journal Article; Research Support, Non-U.S. Gov't","Andrology","No",""
"32516073","10.1097/JU.0000000000001183","Masterson TA","2020","Using Artificial Intelligence to Predict Surgical Shunts in Men with Ischemic Priapism.","The Journal of urology","J Urol","Journal Article","Andrology","No",""
"32155013","10.5935/1518-0557.20190081","Pedrosa ML","2020","Sperm selection in IVF: the long and winding road from bench to bedside.","JBRA assisted reproduction","JBRA Assist Reprod","Journal Article; Review","Andrology","No",""
"32449608","10.1111/andr.12826","Santi D","2020","Multilevel approach to male fertility by machine learning highlights a hidden link between haematological and spermatogenetic cells.","Andrology","Andrology","Journal Article; Observational Study; Research Support, Non-U.S. Gov't","Andrology","No",""
"33211025","10.2196/20031","Tsai VF","2020","Web- and Artificial Intelligence-Based Image Recognition For Sperm Motility Analysis: Verification Study.","JMIR medical informatics","JMIR Med Inform","Journal Article","Andrology","No",""
"33374461","10.3390/s21010072","Valiuskaite V","2020","Deep Learning Based Evaluation of Spermatozoid Motility for Artificial Insemination.","Sensors (Basel, Switzerland)","Sensors (Basel)","Journal Article","Andrology","No",""
"32240301","10.1093/humrep/deaa013","VerMilyea M","2020","Development of an artificial intelligence-based assessment model for prediction of embryo viability using static images captured by optical light microscopy during IVF.","Human reproduction (Oxford, England)","Hum Reprod","Journal Article; Research Support, Non-U.S. Gov't","Andrology","No",""
"32538428","10.1093/humrep/deaa109","Zeadna A","2020","Prediction of sperm extraction in non-obstructive azoospermia patients: a machine-learning perspective.","Human reproduction (Oxford, England)","Hum Reprod","Journal Article; Research Support, Non-U.S. Gov't","Andrology","No",""
"33167007","10.1093/humrep/deaa259","Zeadna A","2020","Reply: Predicting sperm extraction in non-obstructive azoospermia patients: a machine-learning perspective.","Human reproduction (Oxford, England)","Hum Reprod","Comment; Letter","Andrology","No",""
"32676406","10.21037/tau.2020.03.45","Zhu K","2020","Acute kidney injury in solitary kidney patients after partial nephrectomy: incidence, risk factors and prediction.","Translational andrology and urology","Transl Androl Urol","Journal Article","Andrology","No",""
"32727146","10.3390/s20154175","Akkus Z","2020","Fully Automated Segmentation of Bladder Sac and Measurement of Detrusor Wall Thickness from Transabdominal Ultrasound Images.","Sensors (Basel, Switzerland)","Sensors (Basel)","Letter","Benign/Functional","No",""
"32153047","10.1002/pros.23968","Connell SP","2020","Development of a multivariable risk model integrating urinary cell DNA methylation and cell-free RNA data for the detection of significant prostate cancer.","The Prostate","Prostate","Journal Article; Research Support, Non-U.S. Gov't","Benign/Functional","No",""
"32628701","10.1371/journal.pone.0235328","Dong L","2020","Aptamer based proteomic pilot study reveals a urine signature indicative of pediatric urinary tract infections.","PloS one","PLoS One","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Validation Study","Benign/Functional","No",""
"32521550","10.1055/a-1171-1137","Hennig MJP","2020","[Potential for improvement by new resection and imaging techniques in TUR-B].","Aktuelle Urologie","Aktuelle Urol","Journal Article","Benign/Functional","No",""
"33148625","10.1126/scitranslmed.aay5067","Kanjilal S","2020","A decision algorithm to promote outpatient antimicrobial stewardship for uncomplicated urinary tract infection.","Science translational medicine","Sci Transl Med","Journal Article; Research Support, Non-U.S. Gov't","Benign/Functional","No",""
"32838752","10.1186/s12859-020-03566-7","Mancini A","2020","Machine learning models predicting multidrug resistant urinary tract infections using ""DsaaS"".","BMC bioinformatics","BMC Bioinformatics","Journal Article","Benign/Functional","No",""
"31977788","10.1097/AOG.0000000000003687","Rahman SN","2020","Development and Validation of a Machine Learning Algorithm for Predicting Response to Anticholinergic Medications for Overactive Bladder Syndrome.","Obstetrics and gynecology","Obstet Gynecol","Comment; Journal Article","Benign/Functional","No",""
"31570249","10.1016/j.urolonc.2019.08.019","Alanee S","2020","Using adaptive genetic algorithms combined with high sensitivity single cell-based technology to detect bladder cancer in urine and provide a potential noninvasive marker for response to anti-PD1 immunotherapy.","Urologic oncology","Urol Oncol","Journal Article","Bladder Cancer","No",""
"32548296","10.18383/j.tom.2020.00013","Hadjiiski LM","2020","Intraobserver Variability in Bladder Cancer Treatment Response Assessment With and Without Computerized Decision Support.","Tomography (Ann Arbor, Mich.)","Tomography","Journal Article; Research Support, N.I.H., Extramural","Bladder Cancer","No",""
"32330067","10.1200/CCI.19.00155","Harmon SA","2020","Multiresolution Application of Artificial Intelligence in Digital Pathology for Prediction of Positive Lymph Nodes From Primary Tumors in Bladder Cancer.","JCO clinical cancer informatics","JCO Clin Cancer Inform","Journal Article; Research Support, N.I.H., Extramural","Bladder Cancer","No",""
"32195366","10.1038/s41746-020-0238-2","Kalra S","2020","Pan-cancer diagnostic consensus through searching archival histopathology images using artificial intelligence.","NPJ digital medicine","NPJ Digit Med","Journal Article","Bladder Cancer","No",""
"33127883","10.1038/s41467-020-19313-8","Kong J","2020","Network-based machine learning in colorectal and bladder organoid models predicts anti-cancer drug efficacy in patients.","Nature communications","Nat Commun","Journal Article; Research Support, Non-U.S. Gov't","Bladder Cancer","No",""
"31396730","10.1007/s00330-019-06371-w","Lin P","2020","A radiogenomics signature for predicting the clinical outcome of bladder urothelial carcinoma.","European radiology","Eur Radiol","Journal Article","Bladder Cancer","No",""
"31980088","10.1016/j.artmed.2019.101746","Lorencin I","2020","Using multi-layer perceptron with Laplacian edge detector for bladder cancer diagnosis.","Artificial intelligence in medicine","Artif Intell Med","Journal Article; Research Support, Non-U.S. Gov't","Bladder Cancer","No",""
"32677978","10.1186/s13000-020-01002-1","Niazi MKK","2020","Semantic segmentation to identify bladder layers from H&E Images.","Diagnostic pathology","Diagn Pathol","Journal Article","Bladder Cancer","No",""
"33115513","10.1186/s13287-020-01973-4","Tang C","2020","Development and validation of a novel stem cell subtype for bladder cancer based on stem genomic profiling.","Stem cell research & therapy","Stem Cell Res Ther","Journal Article; Research Support, Non-U.S. Gov't","Bladder Cancer","No",""
"32775485","10.14440/bladder.2020.815","Tong F","2020","Classification of the urinary metabolome using machine learning and potential applications to diagnosing interstitial cystitis.","Bladder (San Francisco, Calif.)","Bladder (San Franc)","Journal Article","Bladder Cancer","No",""
"32738594","10.1016/j.intimp.2020.106818","Wang Y","2020","Tumor mutational burden related classifier is predictive of response to PD-L1 blockade in locally advanced and metastatic urothelial carcinoma.","International immunopharmacology","Int Immunopharmacol","Journal Article","Bladder Cancer","No",""
"32354610","10.1016/j.eururo.2020.04.023","Woerl AC","2020","Deep Learning Predicts Molecular Subtype of Muscle-invasive Bladder Cancer from Conventional Histopathological Slides.","European urology","Eur Urol","Journal Article; Research Support, Non-U.S. Gov't","Bladder Cancer","No",""
"32680493","10.1186/s12911-020-01185-z","Yin PN","2020","Histopathological distinction of non-invasive and invasive bladder cancers using machine learning approaches.","BMC medical informatics and decision making","BMC Med Inform Decis Mak","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","Bladder Cancer","No",""
"31776737","10.1007/s00345-019-03037-6","Andras I","2020","Artificial intelligence and robotics: a combination that is changing the operating room.","World journal of urology","World J Urol","Journal Article; Review","Broad Reviews","No",""
"31724999","10.1097/MOU.0000000000000692","Bhandari M","2020","Artificial intelligence and robotic surgery: current perspective and future directions.","Current opinion in urology","Curr Opin Urol","Journal Article; Review","Broad Reviews","No",""
"31833725","10.23736/S0393-2249.19.03613-0","Checcucci E","2020","Artificial intelligence and neural networks in urology: current clinical applications.","Minerva urologica e nefrologica = The Italian journal of urology and nephrology","Minerva Urol Nefrol","Journal Article; Review","Broad Reviews","No",""
"32881726","10.1097/MOU.0000000000000814","Checcucci E","2020","Applications of neural networks in urology: a systematic review.","Current opinion in urology","Curr Opin Urol","Journal Article; Systematic Review","Broad Reviews","No",""
"32701718","10.1097/MOU.0000000000000797","Donswijk ML","2020","Where to next prostate-specific membrane antigen PET imaging frontiers?","Current opinion in urology","Curr Opin Urol","Journal Article; Review","Broad Reviews","No",""
"33299275","10.1007/s13193-020-01166-8","Egert M","2020","Machine Learning and Artificial Intelligence in Surgical Fields.","Indian journal of surgical oncology","Indian J Surg Oncol","Journal Article; Review","Broad Reviews","No",""
"33117695","10.3389/fonc.2020.565086","Girard A","2020","The Role of 18F-FDG PET/CT in Guiding Precision Medicine for Invasive Bladder Carcinoma.","Frontiers in oncology","Front Oncol","Journal Article; Review","Broad Reviews","No",""
"31256249","10.1007/s00345-019-02857-w","Goldenberg MG","2020","Evidence that surgical performance predicts clinical outcomes.","World journal of urology","World J Urol","Journal Article; Review","Broad Reviews","No",""
"32941255","10.1097/MOU.0000000000000819","Hosein S","2020","Clinical applications of artificial intelligence in urologic oncology.","Current opinion in urology","Curr Opin Urol","Journal Article; Research Support, Non-U.S. Gov't; Review","Broad Reviews","No",""
"32143723","10.1186/s12967-020-02281-4","Lin Y","2020","Data-driven translational prostate cancer research: from biomarker discovery to clinical decision.","Journal of translational medicine","J Transl Med","Journal Article; Research Support, Non-U.S. Gov't; Review","Broad Reviews","No",""
"32417110","10.1016/j.urolonc.2020.04.020","Loughlin KR","2020","The world is only ten years old: The dawn of artificial intelligence in urologic oncology.","Urologic oncology","Urol Oncol","Journal Article; Review","Broad Reviews","No",""
"31925551","10.1007/s00345-019-03059-0","Negassi M","2020","Application of artificial neural networks for automated analysis of cystoscopic images: a review of the current status and future prospects.","World journal of urology","World J Urol","Journal Article; Review","Broad Reviews","No",""
"33235893","","Pai RK","2020","A review of current advancements and limitations of artificial intelligence in genitourinary cancers.","American journal of clinical and experimental urology","Am J Clin Exp Urol","Journal Article; Review","Broad Reviews","No",""
"32329274","10.7507/1001-5515.201910055","Qin F","2020","[Research status and trend of artificial intelligence in the diagnosis of urinary diseases].","Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi","Sheng Wu Yi Xue Gong Cheng Xue Za Zhi","Journal Article; Review","Broad Reviews","No",""
"32821957","10.1007/s00120-020-01294-7","Schreiber A","2020","[Artificial intelligence : What do urologists need to know?].","Der Urologe. Ausg. A","Urologe A","Journal Article; Review","Broad Reviews","No",""
"32881725","10.1097/MOU.0000000000000813","Schuettfort VM","2020","Pathomics in urology.","Current opinion in urology","Curr Opin Urol","Journal Article; Research Support, Non-U.S. Gov't; Review","Broad Reviews","No",""
"32479253","10.5152/tud.2020.20117","Shah M","2020","Artificial intelligence (AI) in urology-Current use and future directions: An iTRUE study.","Turkish journal of urology","Turk J Urol","Journal Article; Review","Broad Reviews","No",""
"32611217","10.1089/end.2020.0137","Stai B","2020","Public Perceptions of Artificial Intelligence and Robotics in Medicine.","Journal of endourology","J Endourol","Journal Article; Research Support, N.I.H., Extramural; Review","Broad Reviews","No",""
"31691082","10.1007/s00345-019-03000-5","Suarez-Ibarrola R","2020","Current and future applications of machine and deep learning in urology: a review of the literature on urolithiasis, renal cell carcinoma, and bladder and prostate cancer.","World journal of urology","World J Urol","Journal Article; Review","Broad Reviews","No",""
"32481542","10.3390/cancers12061387","Suarez-Ibarrola R","2020","Radiomics Applications in Renal Tumor Assessment: A Comprehensive Review of the Literature.","Cancers","Cancers (Basel)","Journal Article; Review","Broad Reviews","No",""
"32941257","10.1097/MOU.0000000000000822","Sugano D","2020","Impact of radiomics on prostate cancer detection: a systematic review of clinical applications.","Current opinion in urology","Curr Opin Urol","Journal Article; Systematic Review","Broad Reviews","No",""
"33009150","10.1097/MOU.0000000000000824","Veneziano D","2020","VR and machine learning: novel pathways in surgical hands-on training.","Current opinion in urology","Curr Opin Urol","Journal Article; Review","Broad Reviews","No",""
"31951873","10.1016/j.cmpb.2020.105316","Wildeboer RR","2020","Artificial intelligence in multiparametric prostate cancer imaging with focus on deep-learning methods.","Computer methods and programs in biomedicine","Comput Methods Programs Biomed","Journal Article; Review","Broad Reviews","No",""
"32141938","10.1097/MOU.0000000000000741","Witjes JA","2020","Developments in the follow-up of nonmuscle invasive bladder cancer: what did we learn in the last 24 months: a critical review.","Current opinion in urology","Curr Opin Urol","Journal Article; Review","Broad Reviews","No",""
"32781640","10.3390/cancers12082200","Algohary A","2020","Combination of Peri-Tumoral and Intra-Tumoral Radiomic Features on Bi-Parametric MRI Accurately Stratifies Prostate Cancer Risk: A Multi-Site Study.","Cancers","Cancers (Basel)","Journal Article","Governance","No",""
"32315504","10.1111/bju.15087","Bhandari M","2020","Predicting intra-operative and postoperative consequential events using machine-learning techniques in patients undergoing robot-assisted partial nephrectomy: a Vattikuti Collective Quality Initiative database study.","BJU international","BJU Int","Journal Article; Multicenter Study; Research Support, Non-U.S. Gov't","Governance","No",""
"33062803","10.1117/1.JMI.7.5.057501","Bukowy JD","2020","Accurate segmentation of prostate cancer histomorphometric features using a weakly supervised convolutional neural network.","Journal of medical imaging (Bellingham, Wash.)","J Med Imaging (Bellingham)","Journal Article","Governance","No",""
"32983112","10.3389/fimmu.2020.01900","Chen S","2020","Biomarkers of the Response to Immune Checkpoint Inhibitors in Metastatic Urothelial Carcinoma.","Frontiers in immunology","Front Immunol","Journal Article; Research Support, Non-U.S. Gov't; Validation Study","Governance","No",""
"32908284","10.1038/s41591-020-1037-7","Cruz Rivera S","2020","Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI extension.","Nature medicine","Nat Med","Guideline; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.; Review","Governance","No",""
"33328049","10.1016/S2589-7500(20)30219-3","Cruz Rivera S","2020","Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI extension.","The Lancet. Digital health","Lancet Digit Health","Journal Article; Research Support, Non-U.S. Gov't; Review","Governance","No",""
"32825612","10.3390/cancers12092366","Ellmann S","2020","Computer-Aided Diagnosis in Multiparametric MRI of the Prostate: An Open-Access Online Tool for Lesion Classification with High Accuracy.","Cancers","Cancers (Basel)","Journal Article","Governance","No",""
"31808367","10.1089/end.2019.0509","Ikeda A","2020","Support System of Cystoscopic Diagnosis for Bladder Cancer Based on Artificial Intelligence.","Journal of endourology","J Endourol","Journal Article; Research Support, Non-U.S. Gov't","Governance","No",""
"33256740","10.1186/s12916-020-01834-0","Johnson H","2020","Development and validation of a 25-Gene Panel urine test for prostate cancer diagnosis and potential treatment follow-up.","BMC medicine","BMC Med","Journal Article; Multicenter Study; Research Support, Non-U.S. Gov't","Governance","No",""
"32331449","10.3390/cancers12041032","Klarenbeek SE","2020","The Effect of Higher Level Computerized Clinical Decision Support Systems on Oncology Care: A Systematic Review.","Cancers","Cancers (Basel)","Journal Article; Review","Governance","No",""
"32526669","10.1016/j.ejrad.2020.109079","Lin F","2020","A CT-based deep learning model for predicting the nuclear grade of clear cell renal cell carcinoma.","European journal of radiology","Eur J Radiol","Journal Article","Governance","No",""
"32908283","10.1038/s41591-020-1034-x","Liu X","2020","Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension.","Nature medicine","Nat Med","Guideline; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.; Review","Governance","No",""
"32909959","10.1136/bmj.m3164","Liu X","2020","Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI Extension.","BMJ (Clinical research ed.)","BMJ","Journal Article","Governance","No",""
"33328048","10.1016/S2589-7500(20)30218-1","Liu X","2020","Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension.","The Lancet. Digital health","Lancet Digit Health","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Review","Governance","No",""
"33937821","10.1148/ryai.2020200029","Mongan J","2020","Checklist for Artificial Intelligence in Medical Imaging (CLAIM): A Guide for Authors and Reviewers.","Radiology. Artificial intelligence","Radiol Artif Intell","Editorial","Governance","No",""
"32907797","10.1136/bmj.m3210","Rivera SC","2020","Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI Extension.","BMJ (Clinical research ed.)","BMJ","Journal Article; Research Support, Non-U.S. Gov't","Governance","No",""
"33135401","10.4111/icu.20200086","Shin TY","2020","Expert-level segmentation using deep learning for volumetry of polycystic kidney and liver.","Investigative and clinical urology","Investig Clin Urol","Journal Article; Research Support, Non-U.S. Gov't","Governance","No",""
"32064241","10.3389/fped.2020.00001","Smail LC","2020","Using Deep Learning Algorithms to Grade Hydronephrosis Severity: Toward a Clinical Adjunct.","Frontiers in pediatrics","Front Pediatr","Journal Article","Governance","No",""
"33089126","10.1016/j.eclinm.2020.100536","Solebo AL","2020","Implications of the artificial intelligence extensions to the guidelines for consolidated standards of reporting trials and for standard protocol item recommendations for interventional trials (the CONSORT-AI and SPIRIT-AI extensions).","EClinicalMedicine","EClinicalMedicine","Journal Article","Governance","No",""
"32514173","10.1038/s41591-020-0941-1","Sounderajah V","2020","Developing specific reporting guidelines for diagnostic accuracy studies assessing AI interventions: The STARD-AI Steering Group.","Nature medicine","Nat Med","Letter","Governance","No",""
"33081400","10.3390/cancers12103010","Uhlig J","2020","Radiomic Features and Machine Learning for the Discrimination of Renal Tumor Histological Subtypes: A Pragmatic Study Using Clinical-Routine Computed Tomography.","Cancers","Cancers (Basel)","Journal Article","Governance","No",""
"31468158","10.1007/s00330-019-06417-z","Aldoj N","2020","Semi-automatic classification of prostate cancer on multi-parametric MR imaging using a multi-channel 3D convolutional neural network.","European radiology","Eur Radiol","Journal Article","Prostate Imaging","No",""
"32594208","10.1007/s00330-020-07008-z","Arif M","2020","Clinically significant prostate cancer detection and segmentation in low-risk patients using a convolutional neural network on multi-parametric MRI.","European radiology","Eur Radiol","Journal Article","Prostate Imaging","No",""
"32403240","10.3390/cancers12051204","Bardis MD","2020","Applications of Artificial Intelligence to Prostate Multiparametric MRI (mpMRI): Current and Emerging Trends.","Cancers","Cancers (Basel)","Journal Article; Review","Prostate Imaging","No",""
"32248259","10.1007/s00261-020-02504-8","Chatterjee A","2020","New prostate MRI techniques and sequences.","Abdominal radiology (New York)","Abdom Radiol (NY)","Journal Article; Review","Prostate Imaging","No",""
"33012016","10.1002/mp.14517","Chen Y","2020","Automatic intraprostatic lesion segmentation in multiparametric magnetic resonance images with proposed multiple branch UNet.","Medical physics","Med Phys","Journal Article","Prostate Imaging","No",""
"32607629","10.1007/s00330-020-07027-w","Cuocolo R","2020","Machine learning for the identification of clinically significant prostate cancer on MRI: a meta-analysis.","European radiology","Eur Radiol","Journal Article; Meta-Analysis","Prostate Imaging","No",""
"32542936","10.1002/jmri.27254","Ha HK","2020","Editorial for ""Deep-Learning-Based Artificial Intelligence for PI-RADS Classification to Assist Multiparametric Prostate MRI Interpretation: A Development Study"".","Journal of magnetic resonance imaging : JMRI","J Magn Reson Imaging","Editorial","Prostate Imaging","No",""
"31802148","10.1007/s00117-019-00613-0","Hamm CA","2020","[Artificial intelligence and radiomics in MRI-based prostate diagnostics].","Der Radiologe","Radiologe","Journal Article; Review","Prostate Imaging","No",""
"32099001","10.1038/s41598-020-60311-z","Hartenstein A","2020","Prostate Cancer Nodal Staging: Using Deep Learning to Predict (68)Ga-PSMA-Positivity from CT Imaging Alone.","Scientific reports","Sci Rep","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","Prostate Imaging","No",""
"32740863","10.1007/s00261-020-02678-1","Hou Y","2020","A radiomics machine learning-based redefining score robustly identifies clinically significant prostate cancer in equivocal PI-RADS score 3 lesions.","Abdominal radiology (New York)","Abdom Radiol (NY)","Journal Article; Research Support, Non-U.S. Gov't","Prostate Imaging","No",""
"32524222","10.1007/s00330-020-06958-8","Kan Y","2020","Clinico-radiological characteristic-based machine learning in reducing unnecessary prostate biopsies of PI-RADS 3 lesions with dual validation.","European radiology","Eur Radiol","Journal Article","Prostate Imaging","No",""
"32516697","10.1016/j.ejrad.2020.109063","Krauss T","2020","MRI phenotype of the prostate: Transition zone radiomics analysis improves explanation of prostate-specific antigen (PSA) serum level compared to volume measurement alone.","European journal of radiology","Eur J Radiol","Journal Article","Prostate Imaging","No",""
"32208009","10.2214/AJR.19.22254","Lee DK","2020","Three-Dimensional Convolutional Neural Network for Prostate MRI Segmentation and Comparison of Prostate Volume Measurements by Use of Artificial Neural Network and Ellipsoid Formula.","AJR. American journal of roentgenology","AJR Am J Roentgenol","Journal Article; Research Support, Non-U.S. Gov't","Prostate Imaging","No",""
"33680954","10.3389/fonc.2020.631831","Li M","2020","Use of Radiomics to Improve Diagnostic Performance of PI-RADS v2.1 in Prostate Cancer.","Frontiers in oncology","Front Oncol","Journal Article","Prostate Imaging","No",""
"32078543","10.1109/TMI.2020.2974574","Liu Q","2020","MS-Net: Multi-Site Network for Improving Prostate Segmentation With Heterogeneous MRI Data.","IEEE transactions on medical imaging","IEEE Trans Med Imaging","Journal Article; Research Support, Non-U.S. Gov't","Prostate Imaging","No",""
"32457827","10.3389/fonc.2020.00551","Lu H","2020","Repeatability of Quantitative Imaging Features in Prostate Magnetic Resonance Imaging.","Frontiers in oncology","Front Oncol","Journal Article","Prostate Imaging","No",""
"31703155","10.1002/mrm.28058","Merisaari H","2020","Repeatability of radiomics and machine learning for DWI: Short-term repeatability study of 112 patients with prostate cancer.","Magnetic resonance in medicine","Magn Reson Med","Clinical Study; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.","Prostate Imaging","No",""
"32842599","10.3390/diagnostics10090622","Moazemi S","2020","Machine Learning Facilitates Hotspot Classification in PSMA-PET/CT with Nuclear Medicine Specialist Accuracy.","Diagnostics (Basel, Switzerland)","Diagnostics (Basel)","Journal Article","Prostate Imaging","No",""
"32046196","10.3390/cancers12020390","Monti S","2020","Multiparametric MRI for Prostate Cancer Detection: New Insights into the Combined Use of a Radiomic Approach with Advanced Acquisition Protocol.","Cancers","Cancers (Basel)","Journal Article","Prostate Imaging","No",""
"32468251","10.1007/s00259-020-04864-1","Peeken JC","2020","A CT-based radiomics model to detect prostate cancer lymph node metastases in PSMA radioguided surgery patients.","European journal of nuclear medicine and molecular imaging","Eur J Nucl Med Mol Imaging","Journal Article; Research Support, Non-U.S. Gov't","Prostate Imaging","No",""
"31808980","10.1002/jmri.27008","Qi Y","2020","Multiparametric MRI-Based Radiomics for Prostate Cancer Screening With PSA in 4-10 ng/mL to Reduce Unnecessary Biopsies.","Journal of magnetic resonance imaging : JMRI","J Magn Reson Imaging","Journal Article; Research Support, Non-U.S. Gov't","Prostate Imaging","No",""
"32478955","10.1002/jmri.27204","Sanford T","2020","Deep-Learning-Based Artificial Intelligence for PI-RADS Classification to Assist Multiparametric Prostate MRI Interpretation: A Development Study.","Journal of magnetic resonance imaging : JMRI","J Magn Reson Imaging","Journal Article; Research Support, N.I.H., Extramural; Research Support, N.I.H., Intramural","Prostate Imaging","No",""
"33052737","10.2214/AJR.19.22347","Sanford TH","2020","Data Augmentation and Transfer Learning to Improve Generalizability of an Automated Prostate Segmentation Model.","AJR. American journal of roentgenology","AJR Am J Roentgenol","Journal Article; Research Support, N.I.H., Extramural; Research Support, N.I.H., Intramural","Prostate Imaging","No",""
"32586167","10.1097/JU.0000000000001164","Siegel C","2020","Re: Classification of Cancer at Prostate MRI: Deep Learning versus Clinical PI-RADS Assessment.","The Journal of urology","J Urol","Comment; Journal Article","Prostate Imaging","No",""
"32989773","10.1002/mp.14498","Singhrao K","2020","A generative adversarial network-based (GAN-based) architecture for automatic fiducial marker detection in prostate MRI-only radiotherapy simulation images.","Medical physics","Med Phys","Journal Article","Prostate Imaging","No",""
"32531722","10.1016/j.ejrad.2020.109095","Stanzione A","2020","Prostate MRI radiomics: A systematic review and radiomic quality score assessment.","European journal of radiology","Eur J Radiol","Journal Article; Systematic Review","Prostate Imaging","No",""
"32819762","10.1016/j.ejrad.2020.109208","Stanzione A","2020","Erratum to ""Prostate MRI radiomics: A systematic review and radiomic quality score assessment"" [Eur. J. Radiol. 129 (2020) 109095].","European journal of radiology","Eur J Radiol","Published Erratum","Prostate Imaging","No",""
"32355645","10.21037/qims.2020.03.08","Winkel DJ","2020","Predicting clinically significant prostate cancer from quantitative image features including compressed sensing radial MRI of prostate perfusion using machine learning: comparison with PI-RADS v2 assessment scores.","Quantitative imaging in medicine and surgery","Quant Imaging Med Surg","Journal Article","Prostate Imaging","No",""
"33202680","10.3390/diagnostics10110951","Winkel DJ","2020","Autonomous Detection and Classification of PI-RADS Lesions in an MRI Screening Population Incorporating Multicenter-Labeled Deep Learning and Biparametric Imaging: Proof of Concept.","Diagnostics (Basel, Switzerland)","Diagnostics (Basel)","Journal Article","Prostate Imaging","No",""
"32630787","10.3390/cancers12071767","Woznicki P","2020","Multiparametric MRI for Prostate Cancer Characterization: Combined Use of Radiomics Model with PI-RADS and Clinical Parameters.","Cancers","Cancers (Basel)","Journal Article","Prostate Imaging","No",""
"32449176","10.1002/mp.14255","Zong W","2020","A deep dive into understanding tumor foci classification using multiparametric MRI based on convolutional neural network.","Medical physics","Med Phys","Journal Article","Prostate Imaging","No",""
"32128929","10.1111/joim.13030","Acs B","2020","Artificial intelligence as the next step towards precision pathology.","Journal of internal medicine","J Intern Med","Journal Article; Research Support, Non-U.S. Gov't; Review","Prostate Pathology","No",""
"32926991","10.1016/j.mri.2020.09.011","Akamine Y","2020","Application of hierarchical clustering to multi-parametric MR in prostate: Differentiation of tumor and normal tissue with high accuracy.","Magnetic resonance imaging","Magn Reson Imaging","Journal Article","Prostate Pathology","No",""
